Name,Year Drafted,Pick Round,Position,Y1 GP,Y1 GS,Y1 MPG,Y1 FG%,Y1 3P%,Y1 FT%,Y1 RPG,Y1 APG,Y1 SPG,Y1 BPG,Y1 PPG,Y2 GP,Y2 GS,Y2 MPG,Y2 FG%,Y2 3P%,Y2 FT%,Y2 RPG,Y2 APG,Y2 SPG,Y2 BPG,Y2 PPG,Y3 GP,Y3 GS,Y3 MPG,Y3 FG%,Y3 3P%,Y3 FT%,Y3 RPG,Y3 APG,Y3 SPG,Y3 BPG,Y3 PPG,Y4 GP,Y4 GS,Y4 MPG,Y4 FG%,Y4 3P%,Y4 FT%,Y4 RPG,Y4 APG,Y4 SPG,Y4 BPG,Y4 PPG,Active,All-Stars by Y4,Total All-Stars
Ryan Gomes,2005,50,F,61,33,22.6,0.487,0.333,0.752,4.9,1,0.6,0.1,7.6,73,60,31.2,0.467,0.381,0.811,5.6,1.6,0.7,0.2,12.1,82,74,29.7,0.457,0.33,0.83,5.8,1.8,0.8,0.1,12.6,82,76,31.9,0.431,0.372,0.807,4.8,1.6,0.8,0.3,13.3,No,0,0
Orien Greene,2005,53,G,80,5,15.4,0.395,0.225,0.662,1.8,1.6,1,0.1,3.2,41,0,6.2,0.371,0.182,0.6,1.1,0.5,0.4,0.1,1.5,7,2,8.7,0.273,0,0,0.9,0.4,0.4,0.1,0.9,3,0,1.7,0.5,0,0.5,0,0.3,0.3,0,1,No,0,0
Amir Johnson,2005,56,F,3,0,13,0.7,0.667,1,1.3,1,0,0.7,6.7,8,0,15.5,0.545,0,0.786,4.6,0.4,0.6,1.6,5.9,62,0,12.3,0.558,0,0.673,3.8,0.5,0.4,1.3,3.6,62,24,14.7,0.595,0,0.657,3.7,0.3,0.3,1,3.5,No,0,0
Andrea Bargnani,2006,1,PF,65,2,25.1,0.427,0.373,0.824,3.9,0.8,0.5,0.8,11.6,78,53,23.9,0.386,0.345,0.84,3.7,1.1,0.3,0.5,10.2,78,59,31.4,0.45,0.409,0.831,5.3,1.2,0.4,1.2,15.4,80,80,35,0.47,0.372,0.774,6.3,1.2,0.3,1.4,17.2,No,0,0
LaMarcus Aldridge,2006,2,PF,63,22,22.1,0.503,0,0.722,5,0.4,0.3,1.2,9,76,76,34.9,0.484,0.143,0.762,7.6,1.6,0.7,1.2,17.8,81,81,37.1,0.484,0.25,0.781,7.5,1.9,1,1,18.1,78,78,37.5,0.495,0.313,0.757,8,2.1,0.9,0.6,17.9,No,0,7
Adam Morrison,2006,3,SF,78,23,29.8,0.376,0.337,0.71,2.9,2.1,0.4,0.1,11.8,44,5,15.2,0.36,0.337,0.762,1.6,0.9,0.2,0.1,4.5,8,0,5.5,0.333,0.25,0.5,1,0.4,0,0,1.3,31,0,7.8,0.376,0.238,0.625,1,0.6,0.1,0.1,2.4,No,0,0
Tyrus Thomas,2006,4,PF,72,4,13.4,0.475,0,0.606,3.7,0.6,0.6,1.1,5.2,74,27,18,0.423,0.167,0.741,4.6,1.2,0.6,1,6.8,79,61,27.5,0.451,0.333,0.783,6.5,1,1.2,1.9,10.8,29,3,23.4,0.483,0,0.644,6.3,1.1,1.4,1.7,8,No,0,0
Shelden Williams,2006,5,PF,81,31,18.7,0.455,0.5,0.764,5.4,0.5,0.6,0.5,5.5,36,0,11.5,0.37,0,0.686,3,0.3,0.4,0.4,3,28,0,12.9,0.491,0,0.667,3.5,0.3,0.3,0.4,5.2,30,0,10.2,0.449,0,0.762,2.6,0.3,0.4,0.3,0.7,No,0,0
Brandon Roy,2006,6,SG,57,55,35.4,0.456,0.377,0.838,4.4,4,1.2,0.2,16.8,74,74,37.7,0.454,0.34,0.753,4.7,5.8,1.1,0.2,19.1,78,78,37.2,0.48,0.377,0.824,4.7,5.1,1.1,0.3,22.6,65,65,37.2,0.473,0.33,0.78,4.4,4.7,0.9,0.2,21.5,No,2,3
Randy Foye,2006,7,SG,82,12,22.9,0.434,0.368,0.854,2.7,2.8,0.6,0.3,10.1,39,31,32.3,0.429,0.412,0.815,3.3,4.2,0.9,0.1,13.1,70,61,35.6,0.407,0.36,0.846,3.1,4.3,1,0.4,16.3,70,38,23.8,0.414,0.346,0.89,1.9,3.3,0.5,0.1,10.1,No,0,0
