Name,Year Drafted,Pick Round,Position,Y1 GP,Y1 GS,Y1 MPG,Y1 FG%,Y1 3P%,Y1 FT%,Y1 RPG,Y1 APG,Y1 SPG,Y1 BPG,Y1 PPG,Y2 GP,Y2 GS,Y2 MPG,Y2 FG%,Y2 3P%,Y2 FT%,Y2 RPG,Y2 APG,Y2 SPG,Y2 BPG,Y2 PPG,Y3 GP,Y3 GS,Y3 MPG,Y3 FG%,Y3 3P%,Y3 FT%,Y3 RPG,Y3 APG,Y3 SPG,Y3 BPG,Y3 PPG,Y4 GP,Y4 GS,Y4 MPG,Y4 FG%,Y4 3P%,Y4 FT%,Y4 RPG,Y4 APG,Y4 SPG,Y4 BPG,Y4 PPG,Active,All-Stars by Y4,Total All-Stars
Miles Plumlee,2012,26,C,14,0,3.9,0.238,0,0.75,1.6,0.1,0,0.2,0.9,80,79,24.6,0.517,0,0.561,7.8,0.5,0.6,1.1,8.1,54,28,18.6,0.549,0,0.5,5.1,0.5,0.6,1,4.3,19,0,9.9,0.492,0,0.375,2.4,0.4,0.3,0.6,3.2,No,0,0
Tomáš Satoranský,2012,32,PG,57,3,12.6,0.418,0.243,0.697,1.5,1.6,0.5,0.1,2.7,73,30,22.5,0.523,0.465,0.781,3.2,3.9,0.7,0.2,7.2,80,54,27.1,0.485,0.395,0.819,3.5,5,1,0.2,8.9,65,64,28.9,0.43,0.322,0.876,3.9,5.4,1.2,0.1,9.9,Yes,0,0
Draymond Green,2012,35,PF,79,1,13.4,0.327,0.209,0.818,3.3,0.7,0.5,0.3,2.9,82,12,21.9,0.407,0.333,0.667,5,1.9,1.2,0.9,6.2,79,79,31.5,0.443,0.337,0.66,8.2,3.7,1.6,1.3,11.7,81,81,34.7,0.49,0.388,0.696,9.5,7.4,1.5,1.4,14,Yes,1,4
Khris Middleton,2012,39,SF,27,0,17.6,0.44,0.311,0.844,1.9,1,0.6,0.1,6.1,82,64,30,0.44,0.414,0.861,3.8,2.1,1,0.2,12.1,79,58,30.1,0.467,0.407,0.859,4.4,2.3,1.5,0.1,13.4,79,79,36.1,0.444,0.396,0.888,3.8,4.2,1.7,0.2,18.2,Yes,0,3
Mike Scott,2012,43,PF,40,1,9.4,0.476,0,0.768,2.8,0.3,0.1,0.1,4.6,80,6,18.5,0.479,0.31,0.78,3.6,0.9,0.4,0.1,9.6,68,0,16.5,0.444,0.344,0.792,2.9,1.1,0.4,0,7.8,75,0,15.3,0.468,0.392,0.794,2.7,1,0.3,0.2,6.2,Yes,0,0
Kyle O'Quinn,2012,49,PF,57,5,11.2,0.513,0,0.668,3.7,0.9,0.2,0.5,4.1,69,19,17.2,0.501,0,0.687,5.3,1.1,0.6,1.3,6.2,53,17,16.2,0.492,0.279,0.772,3.9,1.2,0.6,0.8,5.8,65,1,16.2,0.476,0.227,0.767,3.8,1.1,0.3,0.8,4.8,Yes,0,0
Robert Sacre,2012,60,C,32,3,6.3,0.375,0,0.636,1.1,0.2,0,0.3,1.3,65,13,16.8,0.477,0,0.681,3.9,0.8,0.4,0.7,5.4,67,18,16.9,0.412,0,0.671,3.5,0.8,0.4,0.6,4.6,25,1,12.8,0.413,0,0.658,2.9,0.6,0.2,0.4,3.5,No,0,0
Victor Oladipo,2013,2,SG/PG,80,44,31.1,0.419,0.327,0.78,4.1,4.1,1.6,0.5,13.8,72,71,35.7,0.436,0.339,0.819,4.2,4.1,1.7,0.3,17.9,72,52,33,0.438,0.348,0.83,4.8,3.9,1.6,0.8,16,67,67,33.2,0.442,0.361,0.753,4.3,2.6,1.2,0.3,15.9,Yes,0,2
Ben McLemore,2013,7,SG,82,55,26.7,0.376,0.32,0.804,2.9,1,0.5,0.2,8.8,82,82,32.6,0.437,0.358,0.813,2.9,1.7,0.9,0.2,12.1,68,53,21.2,0.429,0.362,0.718,2.2,1.2,0.8,0.1,7.8,61,26,19.3,0.43,0.382,0.753,2.1,0.8,0.5,0.1,8.1,Yes,0,0
Michael Carter-Williams,2013,11,PG,70,70,34.5,0.405,0.264,0.703,6.2,6.3,1.9,0.6,16.7,41,38,33.9,0.38,0.256,0.643,6.2,7.4,1.5,0.4,15,25,25,30.3,0.429,0.143,0.78,4,5.6,2,0.5,14.1,54,37,30.5,0.452,0.273,0.654,5.1,5.2,1.5,0.8,11.5,No,0,0
Giannis Antetokounmpo,2013,15,PF,77,23,24.6,0.414,0.347,0.683,4.4,1.9,0.8,0.8,6.8,81,71,31.4,0.491,0.159,0.741,6.7,2.6,0.9,1,12.7,80,79,35.3,0.506,0.257,0.724,7.7,4.3,1.2,1.4,16.9,80,80,35.6,0.522,0.272,0.77,8.7,5.4,1.6,1.9,22.9,Yes,1,9
Dennis Schröder,2013,17,PG,49,0,13.1,0.383,0.238,0.674,1.2,1.9,0.3,0,3.7,77,10,19.7,0.427,0.351,0.827,2.1,4.1,0.6,0.1,10,80,6,20.3,0.421,0.322,0.791,2.6,4.4,0.9,0.1,11,79,78,31.5,0.451,0.34,0.855,3.1,6.3,0.9,0.2,17.9,Yes,0,0
Gorgui Dieng,2013,21,C,60,15,13.6,0.498,1,0.634,5,0.7,0.5,0.8,4.8,73,49,30,0.506,0.167,0.783,8.3,2,1,1.7,9.7,82,39,27.1,0.532,0.3,0.827,7.1,1.7,1.1,1.2,10.1,82,82,32.4,0.502,0.372,0.814,7.9,1.9,1.1,1.2,10,No,0,0
Rudy Gobert,2013,27,C,45,0,9.6,0.486,0,0.492,3.4,0.2,0.2,0.9,2.3,82,37,26.3,0.604,0,0.623,9.5,1.3,0.8,2.3,8.4,61,60,31.7,0.559,0,0.569,11,1.5,0.7,2.2,9.1,81,81,33.9,0.661,0,0.653,12.8,1.2,0.6,2.6,14,Yes,0,3
Jeff Withey,2013,39,C,58,4,11.8,0.535,0,0.712,2.6,0.4,0.3,0.9,3.3,37,0,7,0.5,0,0.68,1.7,0.3,0.1,0.5,2.6,51,10,12.9,0.537,0,0.729,3.4,0.4,0.4,1,4.3,51,1,8.5,0.534,0,0.75,2.4,0.1,0.3,0.6,2.9,Yes,0,0
Ryan Kelly,2013,48,PF,59,25,22.2,0.423,0.338,0.815,3.7,1.6,0.5,0.8,8,54,32,23.7,0.337,0.336,0.832,2.8,1.8,0.6,0.5,6.4,36,0,13.1,0.369,0.135,0.685,3.4,0.6,0.4,0.3,4.2,9,0,5.2,0.3,0.4,1,1.1,0.6,0.4,0.2,1.1,Yes,0,0
Lorenzo Brown,2013,52,PG,26,0,8.6,0.302,0.1,0.692,1.1,1.6,0.5,0.1,2.5,29,7,18.9,0.426,0.214,0.632,2.4,3.1,1,0.2,4.2,8,0,7.6,0.32,0.125,0.75,0.9,1.4,0.4,0.1,2.5,14,0,9.9,0.412,0.167,1,1.1,0.9,0.4,0,2.3,Yes,0,0
Andrew Wiggins,2014,1,SF/SG,82,82,36.2,0.437,0.31,0.76,4.6,2.1,1,0.6,16.9,81,81,35.1,0.459,0.3,0.761,3.6,2,1,0.6,20.7,82,82,37.2,0.452,0.356,0.76,4,2.3,1,0.4,23.6,82,82,36.3,0.438,0.331,0.643,4.4,2,1.1,0.6,17.7,Yes,0,1
Jabari Parker,2014,2,SF/PF,25,25,29.5,0.49,0.25,0.697,5.5,1.7,1.2,0.2,12.3,76,72,31.7,0.493,0.257,0.768,5.5,1.7,0.9,0.4,14.1,51,50,33.9,0.49,0.365,0.743,6.2,2.8,1,0.4,20.1,31,3,24,0.482,0.383,0.741,4.9,1.9,0.8,0.3,12.6,No,0,0
Joel Embiid,2014,3,C,31,31,25.4,0.466,0.367,0.783,7.8,2.1,0.9,2.5,20.2,63,63,30.4,0.483,0.308,0.769,11,3.2,0.6,1.8,22.9,64,64,33.7,0.484,0.3,0.804,13.6,3.7,0.7,1.9,27.5,51,51,29.5,0.477,0.331,0.807,11.6,3,0.9,1.3,23,Yes,3,7
Aaron Gordon,2014,4,PF,47,8,17,0.447,0.271,0.721,3.6,0.7,0.4,0.5,5.2,8,37,23.9,0.473,0.296,0.668,6.5,1.6,0.8,0.7,9.2,80,72,28.7,0.454,0.288,0.719,5.1,1.9,0.8,0.5,12.7,58,57,32.9,0.434,0.336,0.698,7.9,2.3,1,0.8,17.6,Yes,0,0
Danté Exum,2014,5,PG/SG,82,41,22.2,0.349,0.314,0.625,1.6,2.4,0.5,0.2,4.8,66,26,18.6,0.427,0.295,0.795,2,1.7,0.3,0.2,6.2,14,0,16.8,0.483,0.278,0.806,1.9,3.1,0.6,0.2,8.1,42,1,15.8,0.419,0.29,0.791,1.6,2.6,0.3,0.1,6.9,Yes,0,0
Marcus Smart,2014,6,SG/PG,67,38,27,0.367,0.335,0.646,3.3,3.1,1.5,0.3,7.8,61,10,27.3,0.348,0.253,0.777,4.2,3,1.5,0.3,9,79,24,30.4,0.359,0.284,0.812,3.9,4.6,1.6,0.4,10.6,54,11,29.9,0.367,0.301,0.729,3.5,4.8,1.3,0.4,10.2,No,0,0
Julius Randle,2014,7,PF,1,0,13.6,0.333,0,0,0,0,0,0,2,81,60,28.2,0.429,0.278,0.715,10.2,1.8,0.7,0.4,11.3,74,73,28.8,0.488,0.27,0.723,8.6,3.6,0.7,0.5,13.2,82,49,26.7,0.558,0.222,0.718,8,2.6,0.5,0.5,16.1,Yes,0,3
Elfrid Payton,2014,10,PG,82,63,30.3,0.425,0.262,0.551,4.3,6.5,1.7,0.2,8.9,73,69,29.4,0.436,0.326,0.589,3.6,6.4,1.2,0.3,10.7,82,58,29.4,0.471,0.274,0.692,4.7,6.5,1.1,0.5,12.8,44,44,28.6,0.52,0.373,0.632,4,6.3,1.5,0.4,13,Yes,0,0
Zach LaVine,2014,13,SG,77,40,24.7,0.422,0.341,842,2.8,3.6,0.7,0.1,10.1,82,33,28,0.452,0.389,0.793,2.8,3.1,0.8,0.2,14,47,47,37.2,0.459,0.387,0.836,3.4,3,0.9,0.2,18.9,24,24,27.3,0.383,0.341,0.813,3.9,3,1,0.2,16.7,Yes,0,2
T. J. Warren,2014,14,SF,40,1,15.4,0.528,0.238,0.737,2.1,0.6,0.5,0.2,6.1,47,4,22.8,0.501,0.4,0.703,3.1,0.9,0.8,0.3,11,66,59,31,0.495,0.263,0.773,5.1,1.1,1.2,0.6,14.4,65,65,33,0.498,0.222,0.757,5.1,1.3,1,0.6,19.6,Yes,0,0
Adreian Payne,2014,15,PF,3,0,6.3,0.286,0,0.5,1.3,0,0.3,0,1.7,29,22,24.8,0.418,0.125,0.659,5.4,1,0.6,0.3,7.2,52,2,9.3,0.366,0.281,0.654,2.1,0.6,0.3,0.2,2.5,18,0,7.5,0.426,0.2,0.737,1.8,0.4,0.4,0.4,3.5,No,0,0
Jusuf Nurkić,2014,16,C,62,27,17.8,0.446,0,0.636,6.2,0.8,0.8,1.1,6.9,32,3,17.1,0.417,0,0.616,5.5,1.3,0.8,1.4,8.2,45,29,17.9,0.507,0,0.496,5.8,1.3,0.6,0.8,8,20,19,29.2,0.508,0,0.66,10.4,3.2,1.3,1.9,15.2,No,0,0
James Young,2014,17,SG/SF,31,0,10.7,0.353,0.258,0.552,1.4,0.4,0.3,0.1,3.4,29,0,6.9,0.306,0.231,0.25,0.9,0.3,0.2,0,1,29,0,7.6,0.431,0.343,0.667,0.9,0.1,0.3,0.1,2.3,6,0,10.2,0.357,0.3,0.667,0.3,0.3,0,0,2.8,No,0,0
Gary Harris,2014,19,SG,55,6,13.1,0.304,0.204,0.745,1.2,0.5,0.7,0.1,3.4,76,76,32.1,0.469,0.354,0.82,2.9,1.9,1.3,0.2,12.3,57,56,31.3,0.503,0.42,0.776,3.1,2.9,1.2,0.1,14.9,67,65,34.4,0.485,0.396,0.827,2.6,2.9,1.8,0.2,17.5,Yes,0,0
Rodney Hood,2014,23,SG,50,21,21.3,0.414,0.365,0.763,2.3,1.7,0.6,0.2,8.7,79,79,32.2,0.42,0.359,0.86,3.4,2.7,0.9,0.2,14.5,59,55,27,0.408,0.371,0.783,3.4,1.6,0.6,0.2,12.7,39,12,27.8,0.424,0.389,0.876,2.8,1.7,0.8,0.2,16.8,No,0,0
Clint Capela,2014,25,C,12,0,7.5,0.483,0,0.174,3,0.2,0.1,0.8,2.7,77,35,19.1,0.582,0,0.379,6.4,0.6,0.8,1.2,7,65,59,23.9,0.643,0,0.531,8.1,1,0.5,1.2,12.6,74,74,27.5,0.652,0,0.56,10.8,0.9,0.8,1.9,13.9,Yes,0,0
Bogdan Bogdanović,2014,27,SG,78,52,27.9,0.446,0.392,0.84,2.9,3.3,0.9,0.2,11.8,70,17,27.8,0.418,0.36,0.827,3.5,3.8,1,0.2,14.1,61,28,28.9,0.44,0.372,0.741,3.4,3.4,1,0.2,15.1,44,27,29.7,0.473,0.438,0.909,3.6,3.3,1.1,0.3,16.4,Yes,0,0
Nikola Jokić,2014,41,C,80,55,21.7,0.512,0.333,0.811,7,2.4,1,0.6,10,73,59,27.9,0.577,0.324,0.825,9.8,4.9,0.8,0.8,16.7,75,73,32.6,0.5,0.396,0.85,10.7,6.1,1.2,0.8,18.5,80,80,31.3,0.511,0.307,0.821,10.8,7.3,1.4,0.7,20.1,Yes,1,7
Karl-Anthony Towns,2015,1,C,82,82,32,0.542,0.34,0.811,10.5,2,1.7,0.7,18.3,82,82,37,0.542,0.367,0.832,12.3,2.7,1.3,0.7,25.1,82,82,35.6,0.545,0.421,0.858,12.3,2.4,1.4,0.8,21.3,77,77,33,0.518,0.4,0.836,12.4,3.4,1.6,0.9,24.4,Yes,0,5
D'Angelo Russell,2015,2,PG,80,48,28.2,0.41,0.351,0.737,3.4,3.3,1.2,0.2,13.2,63,60,28.7,0.405,0.352,0.782,3.5,4.8,1.4,0.3,15.6,48,35,25.7,0.414,0.324,0.74,3.9,5.2,0.8,0.4,15.5,81,81,30.2,0.434,0.369,0.78,3.9,7,1.2,0.2,21.1,Yes,1,1
Kristaps Porziņģis,2015,4,PF/C,72,72,28.4,0.421,0.333,0.838,7.3,1.3,0.7,1.9,14.3,66,65,32.8,0.45,0.357,0.786,7.2,1.5,0.7,2,18.1,48,48,32.4,0.439,0.395,0.793,6.6,1.2,0.8,2.4,22.7,57,57,31.8,0.427,0.352,0.799,9.5,1.8,0.7,2,20.4,Yes,1,1
Devin Booker,2015,13,SG,76,51,27.7,0.423,0.343,0.84,2.5,2.6,0.6,0.3,13.8,78,78,35,0.423,0.363,0.832,3.2,3.4,0.9,0.3,22.1,54,54,34.5,0.432,0.383,0.878,4.5,4.7,0.9,0.3,24.9,64,64,35,0.467,0.326,0.866,4.1,6.8,0.9,0.2,26.6,Yes,0,4
Sam Dekker,2015,18,SF,3,0,2,0,0,0,0.3,0,0.3,0,0,77,2,18.4,0.473,0.321,0.559,3.7,1,0.5,0.3,6.5,73,1,12.1,0.494,0.167,0.661,2.4,0.5,0.3,0.1,4.2,9,5,18.8,0.458,0.385,0.8,3.7,1,1.2,0,6.3,Yes,0,0
Jarell Martin,2015,25,PF,27,0,14.1,0.466,0,0.726,3.2,0.6,0.3,0.3,5.7,42,3,13.3,0.384,0.36,0.8,3.9,0.2,0.4,0.2,3.9,73,36,22.8,0.446,0.347,0.767,4.4,1,0.5,0.7,7.7,42,1,7.8,0.413,0.351,0.818,1.7,0.4,0.1,0.2,2.7,Yes,0,0
Kevon Looney,2015,30,PF,5,0,4.1,0.571,0.5,0,2,0,0,0,1.8,53,4,8.4,0.523,0.222,0.618,2.3,0.5,0.3,0.3,2.5,66,4,13.8,0.58,0.2,0.545,3.3,0.6,0.5,0.8,4,80,24,18.5,0.625,0.1,0.619,5.2,1.5,0.6,0.7,6.3,Yes,0,0
Richaun Holmes,2015,37,SF/PF,51,1,13.8,0.514,0.182,0.689,2.6,0.6,0.4,0.8,5.6,57,17,20.9,0.558,0.351,0.699,5.5,1,0.7,1,9.8,48,2,15.5,0.56,0.129,0.661,4.4,1.3,0.4,0.6,6.5,70,4,16.9,0.608,0,0.731,4.7,0.9,0.6,1.1,8.2,Yes,0,0
Pat Connaughton,2015,41,SG,34,0,4.2,0.265,0.238,1,0.9,0.3,0.1,0,1.1,39,1,8.1,0.514,0.515,0.778,1.3,0.7,0.2,0.1,2.5,82,5,18.1,0.423,0.352,0.841,2,1.1,0.3,0.3,5.4,61,2,20.7,0.466,0.33,0.725,4.2,2,0.5,0.4,6.9,Yes,0,0
Andrew Harrison,2015,44,PG,72,18,20.5,0.325,0.276,0.763,1.9,2.8,0.7,0.3,5.9,56,46,23.7,0.422,0.331,0.78,2.3,3.2,0.7,0.5,9.5,1,0,5,0.5,0,0,0,0,0,0,2,10,0,14.4,0.308,0.214,1,1.5,1.7,0.4,0.2,4.3,Yes,0,0
Norman Powell,2015,46,SG,49,24,14.8,0.424,0.404,0.811,2.3,1,0.6,0.2,5.6,76,18,18,0.449,0.324,0.792,2.2,1.1,0.7,0.2,8.4,70,18,15.2,0.401,0.285,0.821,1.7,1.3,0.5,0.2,5.5,60,3,18.8,0.483,0.4,0.827,2.3,1.5,0.7,0.2,8.6,Yes,0,0
Ben Simmons,2016,1,PF/PG,81,81,33.7,0.545,0,0.56,8.1,8.2,1.7,0.9,15.8,79,79,34.2,0.563,0,0.6,8.8,7.7,1.4,0.8,16.9,57,57,35.4,0.58,0.286,0.621,7.8,8,2.1,0.6,16.4,58,58,32.4,0.557,0.3,0.613,7.2,6.9,1.6,0.6,14.3,Yes,3,3
Brandon Ingram,2016,2,SF,79,40,28.9,0.402,0.294,0.621,4,2.1,0.6,0.4,9.4,59,59,33.5,0.47,0.39,0.681,5.3,3.9,0.8,0.7,16.1,52,52,33.9,0.497,0.33,0.675,5.1,3,0.5,0.6,18.3,62,62,33.9,0.463,0.391,0.851,6.1,4.2,1,0.6,23.8,Yes,1,1
Jaylen Brown,2016,3,SF/SG,78,20,17.2,0.454,0.341,0.685,2.8,0.8,0.4,0.2,6.6,70,70,30.7,0.465,0.395,0.644,4.9,1.6,1,0.4,14.5,74,25,25.9,0.465,0.344,0.658,4.2,1.4,0.9,0.4,13,57,57,33.9,0.481,0.382,0.724,6.4,2.1,1.1,0.4,20.3,Yes,0,4
Jamal Murray,2016,7,PG/SG,82,9,21.5,0.404,0.334,0.883,2.6,2.1,0.6,0.3,9.9,81,80,31.7,0.451,0.378,0.905,3.7,3.4,1,0.3,16.7,75,74,32.6,0.437,0.367,0.848,4.2,4.8,0.9,0.4,18.2,59,59,32.3,0.456,0.346,0.881,4,4.8,1.1,0.3,18.5,Yes,0,0
Domantas Sabonis,2016,11,C/PF,81,66,20.1,0.399,0.321,0.657,3.6,1,0.5,0.4,5.9,74,19,24.5,0.514,0.351,0.75,7.7,2,0.5,0.4,11.6,74,5,24.8,0.59,0.529,0.715,9.3,2.9,0.6,0.4,14.1,62,62,34.8,0.54,0.254,0.723,12.4,5,0.8,0.5,18.5,Yes,1,3
Denzel Valentine,2016,14,SG/SF,57,0,17.1,0.354,0.351,0.778,2.6,1.1,0.5,0.1,5.1,77,37,27.2,0.417,0.386,0.745,5.1,3.2,0.8,0.1,10.2,36,5,13.6,0.409,0.336,0.75,2.1,1.2,0.7,0.2,6.8,62,3,16.7,0.373,0.331,0.941,3.2,1.7,0.5,0.1,6.5,Yes,0,0
Malik Beasley,2016,19,SG,22,1,7.5,0.452,0.321,0.8,0.8,0.5,0.3,0,3.8,62,0,9.4,0.41,0.341,0.667,1.1,0.5,0.2,0.1,3.2,81,18,23.2,0.474,0.402,0.848,2.5,1.2,0.7,0.1,11.3,41,0,18.2,0.389,0.36,0.868,1.9,1.2,0.8,0.1,7.9,Yes,0,0
Timothé Luwawu-Cabarrot,2016,24,SG/SF,68,19,17.2,0.402,0.311,0.854,2.2,1.1,0.5,0.1,6.4,52,7,15.5,0.375,0.335,0.793,1.4,1,0.2,0.1,5.8,21,1,5.9,0.302,0.227,0.667,0.9,0.2,0.2,0,1.7,47,2,18.1,0.435,0.388,0.852,2.7,0.6,0.4,0.1,7.8,Yes,0,0
Pascal Siakam,2016,27,PF,55,38,15.6,0.502,0.143,0.688,3.4,0.3,0.5,0.8,4.2,81,5,20.7,0.508,0.22,0.621,4.5,2,0.8,0.5,7.3,80,79,31.8,0.549,0.369,0.785,6.9,3.1,0.9,0.7,16.9,60,60,35.2,0.453,0.359,0.792,7.3,3.5,1,0.9,22.9,Yes,1,3
Dejounte Murray,2016,29,PG/SG,38,8,8.5,0.431,0.391,0.7,1.1,1.3,0.2,0.2,3.4,81,48,21.5,0.443,0.265,0.709,5.7,2.9,1.2,0.4,8.1,66,58,25.6,0.462,0.369,0.798,5.8,4.1,1.7,0.3,10.9,67,67,31.9,0.453,0.317,0.791,7.1,5.4,1.5,0.1,15.7,Yes,0,1
Patrick McCaw,2016,38,SG/SF,71,20,15.1,0.433,0.333,0.784,1.4,1.1,0.5,0.2,4,57,10,16.9,0.409,0.238,0.765,1.4,1.4,0.8,0.2,4,3,0,17.7,0.222,0.25,0,1,0.7,0.7,0,1.7,26,1,13.2,0.444,0.333,0.867,1.7,1,0.8,0.1,2.7,Yes,0,0
Jayson Tatum,2017,3,SF,80,80,30.5,0.475,0.434,0.826,5,1.6,1,0.7,13.9,79,79,31.1,0.45,0.373,0.855,6,2.1,1.1,0.7,15.7,66,66,34.3,0.45,0.403,0.812,7,3,1.4,0.9,23.4,64,64,35.8,0.459,0.386,0.868,7.4,4.3,1.2,0.5,26.4,Yes,2,6
De'Aaron Fox,2017,5,PG,73,61,27.7,0.412,0.307,0.726,2.8,4.4,1,0.3,11.6,81,81,31.4,0.458,0.371,0.727,3.8,7.3,1.6,0.6,17.3,51,49,32,0.48,0.292,0.705,3.8,6.8,1.5,0.5,21.1,58,58,35.1,0.477,0.322,0.719,3.5,7.2,1.5,0.5,25.2,Yes,0,1
Lauri Markkanen,2017,7,PF,68,68,29.7,0.434,0.362,0.843,7.5,1.2,0.6,0.6,15.2,52,51,32.3,0.43,0.361,0.872,9,1.4,0.7,0.6,18.7,50,50,29.8,0.425,0.344,0.824,6.3,1.5,0.8,0.5,14.7,51,26,25.8,0.48,0.402,0.826,5.3,0.9,0.5,0.3,13.6,Yes,0,1
Donovan Mitchell,2017,13,SG,79,71,33.4,0.437,0.34,0.805,3.7,3.7,1.5,0.3,20.5,77,77,33.7,0.432,0.362,0.806,4.1,4.2,1.4,0.4,23.8,69,69,34.3,0.449,0.366,0.863,4.4,4.3,1,0.2,24,53,53,33.4,0.438,0.386,0.845,4.4,5.2,1,0.3,26.4,Yes,2,6
Bam Adebayo,2017,14,PF/C,69,19,19.8,0.512,0,0.721,5.5,1.5,0.5,0.6,6.9,82,28,23.3,0.576,0.2,0.735,7.3,2.2,0.9,0.8,8.9,72,72,33.6,0.557,0.143,0.691,10.2,5.1,1.1,1.3,15.9,64,64,33.5,0.57,0.25,0.799,9,5.4,1.2,1,18.7,Yes,1,3
John Collins,2017,19,PF,74,26,24.1,0.576,0.34,0.715,7.3,1.3,0.6,1.1,10.5,61,59,30,0.56,0.348,0.763,9.8,2,0.4,0.6,19.5,41,41,33.2,0.583,0.401,0.8,10.1,1.5,0.8,1.6,21.6,63,63,29.3,0.556,0.399,0.833,7.4,1.2,0.5,1,17.6,Yes,0,0
Jarrett Allen,2017,22,C,72,31,20,0.589,0.333,0.776,5.4,0.7,0.4,1.2,8.2,80,80,26.2,0.59,0.133,0.709,8.4,1.4,0.5,1.5,10.9,70,64,26.5,0.649,0,0.633,9.6,1.6,0.6,1.3,11.1,63,45,30.3,0.609,0.316,0.69,9.9,1.7,0.5,1.4,13.2,Yes,0,1
O.G. Anunoby,2017,23,SF,74,62,20,0.471,0.371,0.629,2.5,0.7,2,0.7,5.9,67,6,20.2,0.453,0.332,0.581,2.9,0.7,0.3,0.7,7,69,68,29.9,0.505,0.39,0.706,5.3,1.6,0.7,1.4,10.6,43,43,33.3,0.48,0.398,0.784,5.5,2.2,0.7,1.5,15.9,Yes,0,0
Caleb Swanigan,2017,26,PF,27,3,7,0.4,0.125,0.667,2,0.5,0.2,0.1,2.3,18,0,8.1,0.318,0.2,0.857,2.9,0.4,0.2,0,1.9,3,0,11,0.444,0,0,4,1.3,0.7,0.3,2.7,7,0,3.3,0.5,0,0.5,1,0.3,0.1,0.3,0.7,No,0,0
Derrick White,2017,29,PG/SG,17,0,8.2,0.485,0.615,0.7,1.5,0.5,0.2,0.2,3.2,67,55,25.8,0.479,0.338,0.772,3.7,3.9,1,0.7,9.9,68,20,24.7,0.458,0.366,0.853,3.3,3.5,0.6,0.9,11.3,36,32,29.5,0.411,0.346,0.851,3,3.5,0.7,1,15.4,Yes,0,0
Wes Iwundu,2017,33,SF,62,12,16.5,0.427,0.196,0.723,2.2,0.9,0.5,0.2,3.7,68,13,18.1,0.412,0.367,0.816,2.7,1.1,0.4,0.3,5,52,21,18.3,0.416,0.341,0.804,2.5,1.2,0.5,0.3,5.8,23,3,12.5,0.327,0.13,0.857,2.9,0.4,0.4,0.1,2.1,Yes,0,0
Semi Ojeleye,2017,37,SF/PF,73,0,15.8,0.346,0.32,0.61,2.2,0.3,0.3,0.1,2.7,56,3,10.6,0.424,0.315,0.615,1.5,0.4,0.2,0.1,3.3,69,6,14.7,0.408,0.378,0.875,2.1,0.5,0.3,0.1,3.4,56,15,17,0.403,0.367,0.75,2.6,0.7,0.3,0,4.6,Yes,0,0
Dillon Brooks,2017,45,SF,82,74,28.7,0.44,0.356,0.747,3.1,1.6,0.9,0.2,11,18,0,18.3,0.402,0.375,0.733,1.7,0.9,0.6,0.2,7.5,73,73,28.9,0.407,0.358,0.808,3.3,2.1,0.9,0.4,16.2,67,67,29.8,0.419,0.344,0.815,2.9,2.3,1.2,0.4,17.2,Yes,0,0
Sterling Brown,2017,46,SG,54,4,14.4,0.4,0.352,0.875,2.6,0.5,0.6,0.2,4,58,7,17.8,0.465,0.361,0.69,3.2,1.4,0.4,0.1,6.4,52,1,14.7,0.371,0.324,0.8,3.5,1,0.6,0.1,5.1,51,14,24.1,0.448,0.423,0.806,4.4,1.4,0.8,0.2,8.2,Yes,0,0
Luka Dončić,2018,3,PG,72,72,32.2,0.427,0.327,0.713,7.8,6,1.1,0.3,21.2,61,61,33.6,0.463,0.316,0.758,9.4,8.8,1,0.2,28.8,66,66,34.3,0.479,0.35,0.73,8,8.6,1,0.5,27.7,65,65,35.4,0.457,0.353,0.744,9.1,8.7,1.2,0.6,28.4,Yes,3,5
Jaren Jackson Jr.,2018,4,PF,58,56,26.1,0.506,0.359,0.766,4.7,1.1,0.9,1.4,13.8,57,57,28.5,0.469,0.394,0.747,4.6,1.4,0.7,1.6,17.4,11,4,23.5,0.424,0.283,0.833,5.6,1.1,1.1,1.6,14.4,78,78,27.3,0.415,0.319,0.823,5.8,1.1,0.9,2.3,16.3,Yes,1,2
Trae Young,2018,5,PG,81,81,30.9,0.418,0.324,0.829,3.7,8.1,0.9,0.2,19.1,60,60,35.3,0.437,0.361,0.86,4.3,9.3,1.1,0.1,29.6,63,63,33.7,0.438,0.343,0.886,3.9,9.4,0.8,0.2,25.3,76,76,34.9,0.46,0.382,0.904,3.7,9.7,0.9,0.1,28.4,Yes,2,4
Wendell Carter Jr.,2018,7,C,44,44,25.2,0.485,0.188,0.795,7,1.8,0.6,1.3,10.3,43,43,29.2,0.534,0.207,0.737,9.4,1.2,0.8,0.8,11.3,32,25,24.7,0.512,0.364,0.739,7.8,2.2,0.6,0.8,10.9,62,61,29.9,0.525,0.327,0.691,10.5,2.8,0.6,0.7,15,Yes,0,0
Shai Gilgeous-Alexander,2018,11,SG/PG,82,73,26.5,0.476,0.367,0.8,2.8,3.3,1.2,0.5,10.8,70,70,34.7,0.471,0.347,0.807,5.9,3.3,1.1,0.7,19,35,35,33.7,0.5,0.418,0.874,4.7,5.9,0.8,0.7,23.7,56,56,34.7,0.453,0.3,0.81,5,5.9,1.3,0.8,24.5,Yes,1,3
